Method,Letter,SSP,Year,Median,Std,Min,Max
Waste - Carbon Dioxide (Ccs),a,SSP1,2020,3.24e-03,6.06e+00,-9.80e-04,1.68e+02
Waste - Carbon Dioxide (Ccs),a,SSP1,2030,6.51e+01,7.82e+04,-7.20e+00,1.85e+06
Waste - Carbon Dioxide (Ccs),a,SSP1,2040,2.99e+02,7.36e+05,-3.45e+01,2.26e+07
Waste - Carbon Dioxide (Ccs),a,SSP1,2050,4.72e+02,1.71e+06,-4.65e+01,5.51e+07
Waste - Carbon Dioxide (Ccs),a,SSP5,2020,3.39e-03,6.07e+00,-1.03e-03,1.68e+02
Waste - Carbon Dioxide (Ccs),a,SSP5,2030,6.68e+01,9.73e+04,-6.25e+00,2.43e+06
Waste - Carbon Dioxide (Ccs),a,SSP5,2040,2.87e+02,5.69e+05,-3.37e+01,1.62e+07
Waste - Carbon Dioxide (Ccs),a,SSP5,2050,3.88e+02,1.06e+06,-4.83e+01,3.36e+07
Waste - Total,b,SSP1,2020,3.55e+03,1.33e+07,-1.75e+02,3.02e+08
Waste - Total,b,SSP1,2030,4.01e+03,1.34e+07,-2.12e+02,3.02e+08
Waste - Total,b,SSP1,2040,4.56e+03,1.36e+07,-3.10e+02,3.03e+08
Waste - Total,b,SSP1,2050,4.89e+03,1.39e+07,-3.54e+02,3.03e+08
Waste - Total,b,SSP5,2020,3.55e+03,1.33e+07,-1.75e+02,3.02e+08
Waste - Total,b,SSP5,2030,4.00e+03,1.34e+07,-2.06e+02,3.02e+08
Waste - Total,b,SSP5,2040,4.32e+03,1.36e+07,-2.69e+02,3.03e+08
Waste - Total,b,SSP5,2050,4.51e+03,1.37e+07,-3.02e+02,3.03e+08
Waste - Hazardous %,c,SSP1,2020,9.44e-02,2.40e+00,1.53e-04,4.13e+01
Waste - Hazardous %,c,SSP1,2030,8.58e-02,2.29e+00,1.52e-04,3.93e+01
Waste - Hazardous %,c,SSP1,2040,7.72e-02,2.12e+00,1.55e-04,3.53e+01
Waste - Hazardous %,c,SSP1,2050,7.63e-02,2.05e+00,1.66e-04,3.38e+01
Waste - Hazardous %,c,SSP5,2020,9.44e-02,2.40e+00,1.53e-04,4.13e+01
Waste - Hazardous %,c,SSP5,2030,8.64e-02,2.31e+00,1.51e-04,3.95e+01
Waste - Hazardous %,c,SSP5,2040,8.03e-02,2.18e+00,1.52e-04,3.69e+01
Waste - Hazardous %,c,SSP5,2050,8.94e-02,2.14e+00,1.71e-04,3.58e+01
Waste - Circularity %,d,SSP1,2020,8.80e-01,1.96e+00,7.01e-03,1.60e+01
Waste - Circularity %,d,SSP1,2030,8.72e-01,1.80e+00,7.40e-03,1.52e+01
Waste - Circularity %,d,SSP1,2040,8.28e-01,1.60e+00,7.60e-03,1.39e+01
Waste - Circularity %,d,SSP1,2050,8.19e-01,1.48e+00,7.70e-03,1.26e+01
Waste - Circularity %,d,SSP5,2020,8.79e-01,1.95e+00,7.01e-03,1.60e+01
Waste - Circularity %,d,SSP5,2030,8.75e-01,1.82e+00,7.35e-03,1.54e+01
Waste - Circularity %,d,SSP5,2040,8.37e-01,1.67e+00,7.52e-03,1.45e+01
Waste - Circularity %,d,SSP5,2050,8.44e-01,1.59e+00,7.58e-03,1.36e+01
Waste - Landfilled,e,SSP1,2020,3.01e+02,2.34e+05,-5.78e+01,6.98e+06
Waste - Landfilled,e,SSP1,2030,3.14e+02,2.38e+05,-6.38e+01,7.21e+06
Waste - Landfilled,e,SSP1,2040,3.81e+02,2.69e+05,-8.34e+01,8.27e+06
Waste - Landfilled,e,SSP1,2050,4.24e+02,3.07e+05,-9.26e+01,9.62e+06
Waste - Landfilled,e,SSP5,2020,3.01e+02,2.34e+05,-5.79e+01,6.98e+06
Waste - Landfilled,e,SSP5,2030,3.13e+02,2.40e+05,-6.26e+01,7.26e+06
Waste - Landfilled,e,SSP5,2040,3.51e+02,2.59e+05,-7.47e+01,7.85e+06
Waste - Landfilled,e,SSP5,2050,3.84e+02,3.07e+05,-8.10e+01,9.71e+06
Waste - Recycled,f,SSP1,2020,4.01e+01,5.35e+04,-2.10e-01,1.73e+06
Waste - Recycled,f,SSP1,2030,4.19e+01,5.66e+04,-3.33e-01,1.73e+06
Waste - Recycled,f,SSP1,2040,4.39e+01,5.73e+04,-6.70e-01,1.73e+06
Waste - Recycled,f,SSP1,2050,4.67e+01,5.90e+04,-8.62e-01,1.75e+06
Waste - Recycled,f,SSP5,2020,4.01e+01,5.35e+04,-2.11e-01,1.73e+06
Waste - Recycled,f,SSP5,2030,4.18e+01,5.65e+04,-3.09e-01,1.72e+06
Waste - Recycled,f,SSP5,2040,4.25e+01,5.59e+04,-5.09e-01,1.72e+06
Waste - Recycled,f,SSP5,2050,4.52e+01,5.85e+04,-7.46e-01,1.73e+06
Waste - Composted,g,SSP1,2020,6.93e-03,1.19e+03,-8.38e-05,4.53e+04
Waste - Composted,g,SSP1,2030,1.07e-02,1.19e+03,-1.54e-04,4.53e+04
Waste - Composted,g,SSP1,2040,1.16e-02,1.19e+03,-2.36e-04,4.53e+04
Waste - Composted,g,SSP1,2050,1.14e-02,1.19e+03,-2.70e-04,4.53e+04
Waste - Composted,g,SSP5,2020,6.93e-03,1.19e+03,-8.38e-05,4.53e+04
Waste - Composted,g,SSP5,2030,1.16e-02,1.19e+03,-1.57e-04,4.53e+04
Waste - Composted,g,SSP5,2040,1.16e-02,1.19e+03,-2.14e-04,4.53e+04
Waste - Composted,g,SSP5,2050,9.01e-03,1.19e+03,-2.51e-04,4.53e+04
Waste - Incinerated,h,SSP1,2020,1.14e+01,1.16e+04,-2.29e-01,3.49e+05
Waste - Incinerated,h,SSP1,2030,1.21e+01,1.19e+04,-2.60e-01,3.50e+05
Waste - Incinerated,h,SSP1,2040,1.25e+01,1.22e+04,-3.44e-01,3.51e+05
Waste - Incinerated,h,SSP1,2050,1.31e+01,1.28e+04,-3.94e-01,3.51e+05
Waste - Incinerated,h,SSP5,2020,1.14e+01,1.16e+04,-2.29e-01,3.49e+05
Waste - Incinerated,h,SSP5,2030,1.22e+01,1.20e+04,-2.57e-01,3.50e+05
Waste - Incinerated,h,SSP5,2040,1.25e+01,1.22e+04,-3.09e-01,3.51e+05
Waste - Incinerated,h,SSP5,2050,1.32e+01,1.32e+04,-3.86e-01,3.52e+05
Waste - Openly Burned,i,SSP1,2020,8.88e-01,1.01e+03,-4.07e-03,2.89e+04
Waste - Openly Burned,i,SSP1,2030,9.15e-01,1.02e+03,-6.18e-03,2.90e+04
Waste - Openly Burned,i,SSP1,2040,9.50e-01,1.03e+03,-1.28e-02,2.90e+04
Waste - Openly Burned,i,SSP1,2050,9.82e-01,1.05e+03,-1.55e-02,2.91e+04
Waste - Openly Burned,i,SSP5,2020,8.88e-01,1.01e+03,-4.09e-03,2.89e+04
Waste - Openly Burned,i,SSP5,2030,9.21e-01,1.03e+03,-5.74e-03,2.90e+04
Waste - Openly Burned,i,SSP5,2040,9.42e-01,1.04e+03,-9.79e-03,2.90e+04
Waste - Openly Burned,i,SSP5,2050,9.75e-01,1.07e+03,-1.29e-02,2.91e+04
